CO TAUBATE 01,12050000,RUA EDMUNDO MOREWOOD 195,VILA EDMUNDO,TAUBATE,SP
CO SAO JOSE DOS CAMPOS 02,12235210,RUA SERRA DO PARIMA 123,JARDIM ANHEMBI,SAO JOSE DOS CAMPOS,SP
CO SAO JOSE DOS CAMPOS 01,12237833,RUA BRASILIA RAGAZZINI SAES 308,PALMEIRAS DE SAO JOSE,SAO JOSE DOS CAMPOS,SP
CO JACAREI 02,12328080,AVENIDA MALEK ASSAD 509,JARDIM SANTA MARIA,JACAREI,SP
CO JACAREI,12328080,AVENIDA MALEK ASSAD 509,JARDIM SANTA MARIA,JACAREI,SP
CO GUARATINGUETA 01,12570000,TRAV PROFESSOR MARQUES GUIMARAES 30 ESQUINA C/ AV. PADROEIRA DO BRASIL ,AROEIRA,APARECIDA,SP
CO BRAGANCA PAULISTA 01,12908592,Av CORONEL DANIEL PELUSO 650 ,JARDIM SAO LOURENCO,BRAGANCA PAULISTA,SP
CO ATIBAIA 01,12944040,RUA DA MADEIRA 543,RECREIO ESTORIL,ATIBAIA,SP
CO PIRACAIA 02,12970000,RUA SEBASTIAO DE ALMEIRA BARROS 130,CENTRO,PIRACAIA,SP
JE JOANOPOLIS 01,12980000,PRAÇA PADRE DOMINGOS SEGURADO 208,CENTRO,JOANOPOLIS,SP
LJ CAMPINAS 02,13036180,RUA PEDRO DOMINGOS VITALI 410,PARQUE ITALIA,CAMPINAS,SP
CO CAMPINAS 01,13052426,RUA NAIR DA SILVA MONTEIRO 48 / 187,LOTEAMENTO E ARRUAMENTO TELESP,CAMPINAS,SP
LJ CAMPINAS 01,13091516,RUA JOAO QUIRINO DO NASCIMENTO 289,JARDIM BOA ESPERANCA,CAMPINAS,SP
CO PAULINIA 01,13140868,RUA JOANA ANTONIOLLI SCARASSATTI 144,PARQUE DA FIGUEIRA,PAULINIA,SP
CO SUMARE 02,13171120,RUA JOAQUIM FERREIRA GOMES 241,JARDIM MARCHISSOLO,SUMARE,SP
LJ SUMARE 01,13174295,RUA BERNARDO GUIMARAES 140,PARQUE RESIDENCIAL VIRGINIO BASSO,SUMARE,SP
CO HORTOLANDIA 01,13186120,R MARIA JOSE DA CONCEICAO 251,JARDIM CAMPOS VERDES,HORTOLANDIA,SP
CO JUNDIAI 02,13208360,AVENIDA DOUTOR PAULO MOUTRAM 647,JARDIM PAULISTA I,JUNDIAI,SP
HANGAR JAD,13212010,AV EMILIO ANTONON 901 D,CHACARA AEROPORTO,JUNDIAI,SP
CO ITATIBA 01,13251192,RUA ANGELA FATORI DELFORNO 260,JARDIM DELFORNO,ITATIBA,SP
CO VALINHOS 02,13277116,RUA JULIO SPIANDORELLI 188,SANTA MARINA,VALINHOS,SP
CO VINHEDO 01,13289086,RUA DA FORMIGA 30,SANTA ROSA,VINHEDO,SP
CO ITUPEVA 01,13295100,Rua HILDEBRANDO FERRAZ 41,,ITUPEVA,SP
CO ITU 01,13304550,AVENIDA SENADOR TEOTONIO VILELA 470,JARDIM AEROPORTO I,ITU,SP
CO INDAIATUBA 02,13344311,RUA DOMACYR STOCCO JUNIOR 172,JARDIM CALIFORNIA,INDAIATUBA,SP
CO PIRACICABA 01,13412221,AVENIDA BRASILIA 1500,VILA INDUSTRIAL,PIRACICABA,SP
CO SANTA BARBARA DO OESTE 01,13450033,RUA JOAO LINO 225,CENTRO,SANTA BARBARA DOESTE,SP
CO AMERICANA 02,13467600,AVENIDA DE CILLO 4021,PARQUE NOVO MUNDO,AMERICANA,SP
CO LIMEIRA 01,13485208,RUA JOSE MALAMAN 77,JARDIM RESIDENCIAL GRANJA MACHADO,LIMEIRA,SP
CO RIO CLARO 02,13503390,AVENIDA 11 1935,CONSOLACAO,RIO CLARO,SP
LJ SAO CARLOS 01,13569010,RUA MAJOR JOSE INACIO 4055,VILA FARIA,SAO CARLOS,SP
